01 Air	1	10,11
Rape	Crime	8	10,11
Written Military Information Support Operations	Military Information Suppor Operationst	9	10,11
Pirate	Crime	10	10,11
FALSE	IED Category	11	10,11
Find	IED Category	12	10,11
Found and Cleared	IED Category	13	10,11
Hoax (Decoy)	IED Category	14	10,11
Attempted	Incident Qualifier	15	10,11
Accident	Incident Qualifier	16	10,11
Incident	Incident Qualifier	17	10,11
Theft	Crime	18	10,11
Hijacker	Crime	19	11
Cyberspace	Capability	20	11
40 Activities	2	10,11
Unspecified		0	10,11
Cyberspace	Capability	1	11
Security Force Assistance	Capability	2	10,11
50 SIGINT	1	10,11
Unspecified		0	10,11
Anti-Aircraft Fire Control	Radar	1	10,11
Airborne Search and Bombing	Radar	2	10,11
Airborne Intercept	Radar	3	10,11
Altimeter	Radar	4	10,11
Airborne Reconnaissance and Mapping	Radar	5	10,11
Air Traffic Control	Radar	6	10,11
Beacon Transponder (not IFF)	Radar	7	10,11
Battlefield Surveillance	Radar	8	10,11
Controlled Approach	Radar	9	10,11
Controlled Intercept	Radar	10	10,11
Cellular/Mobile	Communications	11	10,11
Coastal Surveillance	Radar	12	10,11
Decoy/Mimic	Radar	13	10,11
Data Transmission	Radar	14	10,11
Earth Surveillance	Radar	15	10,11
Early Warning	Radar	16	10,11
Fire Control	Radar	17	10,11
Ground Mapping	Radar	18	10,11
Height Finding	Radar	19	10,11
Harbor Surveillance	Radar	20	10,11
"Identification, Friend or Foe (Interrogator)"	Radar	21	10,11
Instrument Landing System	Radar	22	10,11
Ionospheric Sounding	Radar	23	10,11
"Identification, Friend or Foe (Transponder)"	Radar	24	10,11
Barrage Jammer	Jammer	25	10,11
Click Jammer	Jammer	26	10,11
Deceptive Jammer	Jammer	27	10,11
Frequency Swept Jammer	Jammer	28	10,11
Jammer (general)	Jammer	29	10,11
Noise Jammer	Jammer	30	10,11
Pulsed Jammer	Jammer	31	10,11
Repeater Jammer	Jammer	32	10,11
Spot Noise Jammer	Jammer	33	10,11
Transponder Jammer	Jammer	34	10,11
Missile Acquisition	Radar	35	10,11
Missile Control	Jammer	36	10,11
Missile Downlink	Air Radar	37	10,11
Meteorological	Radar	38	10,11
Multi-Function	Jammer	39	10,11
Missile Guidance	Radar	40	10,11
Missile Homing	Radar	41	10,11
Missile Tracking	Jammer	42	10,11
Navigational/General	Jammer	43	10,11
Navigational/Distance Measuring Equipment	Jammer	44	10,11
Navigation/Terrain Following	Jammer	45	10,11
Navigational/Weather Avoidance	Jammer	46	10,11
Omni-Line of Sight (LOS)	Jammer	47	10,11
Proximity Use	Air Radar	48	10,11
Point-to-Point Line of Sight (LOS)	Communications	49	10,11
Instrumentation	Radar	50	10,11
