00 Common	1	15,16
Target Acquisition	Radar	58	15,16
Target Illumination	Radar	59	15,16
Tropospheric Scatter	Communications	60	15,16
Target Tracking	Radar	61	15,16
Unknown	Radar	62	15,16
Video Remoting	Radar	63	15,16
Experimental	Radar	64	15,16
50 SIGINT	2	15,16
Unspecified		0	15,16
60 Cyberspace	1	15,16
Unspecified		0	15,16
Defensive Cyberspace	Capability	1	15,16
Offensive Cyberspace	Capability	2	15,16
Social	Capability	3	15,16
Radio Frequency	Capability	6	15,16
Continuity of Operations	Capability	8	15,16
Internet Service Provider (ISP)	Capability	9	15,16
Finance	Capability	10	15,16
Out of Band	Capability	11	15,16
Cloud	Service	12	15,16
Data		13	15,16
Service		14	15
60 Cyberspace	2	15,16
Unspecified		0	15,16
Secured	Capability	1	15,16
Open	Capability	2	15,16
Response Actions	Capability	3	15,16
External Defence Measures	Capability	4	16
Internal Defense Measures	Capability	5	15,16
Advanced Persistent Threat	Capability	6	15,16
Nation State		7	15,16
Nation State Sponsored		8	15,16
Breached/Forced Access		9	16
Service		10	15
